R,Energy 1.6,Energy 2.6
1.27,-149.77099292802876,-149.56312587444128
1.275,-149.77247791554336,-149.56772545956966
1.28,-149.7738761307264,-149.5725290445916
1.285,-149.77519752775382,-149.57746279527714
1.29,-149.77644868113686,-149.58247648710113
1.295,-149.77763440631097,-149.58753416059506
1.3,-149.77875846156837,-149.59260920046162
1.31,-149.78083360671295,-149.602735304973
1.32,-149.78269457692045,-149.61274222211458
1.325,-149.78355003953223,-149.61767817797178
1.33,-149.78435800319818,-149.62256068247683
1.34,-149.78583829770827,-149.63214744884775
1.35,-149.78714833387414,-149.64147567685387
1.36,-149.78829985759714,-149.65052938022583
1.37,-149.78930371876154,-149.6592999948784
1.375,-149.7897534556774,-149.66357792302856
1.38,-149.7901700079765,-149.66778411123752
1.39,-149.79090815753395,-149.67598194550305
1.4,-149.79152700659603,-149.68389630279393
1.41,-149.79203485941457,-149.69153181552343
1.42,-149.79243952640564,-149.69889448346837
1.425,-149.79260547856816,-149.70247560598287
1.43,-149.79274834073905,-149.70599113265095
1.44,-149.7929682606822,-149.71282930374886
1.45,-149.79310578622008,-149.71941690851392
1.46,-149.7931670575764,-149.72576211288157
1.47,-149.79315785558612,-149.73187320719092
1.475,-149.7931285394501,-149.7348435637499
1.48,-149.79308362019128,-149.73775850751173
1.49,-149.792949471073,-149.74342627827397
1.5,-149.79276021748527,-149.7488846864497
1.51,-149.79252037974138,-149.75414174733058
1.52,-149.7922342023535,-149.75920529531948
1.525,-149.79207499106553,-149.76166689431548
1.53,-149.79190567222574,-149.76408295461826
1.54,-149.7915385553595,-149.76878209624053
1.55,-149.79113647871574,-149.77330975999425
1.56,-149.79070326136008,-149.7776723153039
1.57,-149.7902443924618,-149.78187402288822
1.575,-149.79000892271958,-149.78391390632544
1.58,-149.78977345297753,-149.78591059194548
1.59,-149.78930251347487,-149.78977874158414
1.6,-149.78877166282734,-149.7935468400677
1.61,-149.7882074020298,-149.7971963832312
1.62,-149.78763336962155,-149.80071132711245
1.625,-149.78734277278957,-149.80242050301848
1.63,-149.78704970980235,-149.8040987252507
1.64,-149.7864564040932,-149.80736544505078
1.65,-149.78585431974653,-149.8105171121525
1.66,-149.7852446920419,-149.81355864143006
1.675,-149.78431906047084,-149.81792415328118
1.69,-149.78338400519974,-149.82206576231832
1.7,-149.78275752022978,-149.82470875788823
1.71,-149.78212993390008,-149.8272614184739
1.72,-149.7815023531368,-149.8297270773232
1.725,-149.78118889338194,-149.83092828013804
1.74,-149.78025129961094,-149.8344099245051
1.75,-149.7796296958989,-149.8366330039811
1.8,-149.77659249317574,-149.8466709244523
1.81,-149.7760037995044,-149.84847974959968
1.82,-149.7754226281992,-149.85022742087776
1.825,-149.77513500269663,-149.85107895548936
1.83,-149.7748494216638,-149.85191594973028
1.84,-149.77428457714856,-149.85354726144743
1.85,-149.77372844669915,-149.85512320951884
1.86,-149.7731813418737,-149.85664557542228
1.87,-149.7726435336317,-149.8581160497743
1.875,-149.7723781871526,-149.85883236614544
1.88,-149.77211525266563,-149.8595363334364
1.89,-149.77159669631197,-149.86090799261797
1.9,-149.771088029806,-149.86223256963095
1.91,-149.77058938321204,-149.86351154640195
1.92,-149.77010086088578,-149.86474636122418
1.925,-149.76986041991813,-149.86534764343688
1.93,-149.76962253539955,-149.86593840134844
1.94,-149.7691544569314,-149.86708901072353
1.95,-149.76869664992108,-149.86819949244796
1.96,-149.768249116755,-149.86927110729707
1.97,-149.76781183816004,-149.87030507698896
1.975,-149.76759703289514,-149.87080831698785
1.98,-149.76738477775908,-149.8713025889329
1.99,-149.76696788033053,-149.87226479150843
2.0,-149.7665610762449,-149.87319280445314
2.1,-149.76302347319458,-149.8808159819004
2.2,-149.76034196449393,-149.8860345598271
2.25,-149.75926677029844,-149.88796632066553
2.3,-149.75833903175723,-149.88954118988877
2.4,-149.75684684842741,-149.8918445326626
2.5,-149.75572889573974,-149.89331290102425
2.6,-149.75488269046198,-149.89420996125804
2.7,-149.75423444059288,-149.89472241960408
2.75,-149.75396751845722,-149.89487703154978
2.8,-149.75373175767865,-149.8949810735993
2.9,-149.75333745476811,-149.89507629076087
3.0,-149.75302477307275,-149.8950696384653
3.25,-149.75248399239453,-149.89484441082044
3.5,-149.75215267883192,-149.89454467872707
3.75,-149.75193635899535,-149.89427714601166
4.0,-149.75178607694207,-149.89406309639895
4.25,-149.75167518376222,-149.89389719836976
4.5,-149.75158881006186,-149.8937685980281
4.75,-149.75151845665562,-149.89366746373238
5.0,-149.75145906727414,-149.89358609461485
